set,date,image_name,larva_filename,valid_confidence,predicted_valid,posture_confidence,predicted_posture,area,bbox_w,bbox_h,aspect_ratio,extent,solidity,perimeter
pass,3.11,IMG_8052,larva_037.png,0.9191641957005189,1,0.9513172507286072,1.0,774,23,52,0.4423076923076923,0.6471571906354515,0.9532019704433498,133.25483310222626
pass,3.11,IMG_8062,larva_052.png,0.9140499587655839,1,0.9267921447753906,1.0,892,57,29,1.9655172413793103,0.5396249243799153,0.9722070844686649,149.53910374641418
pass,3.11,IMG_8066,larva_034.png,0.9129966581963163,1,0.8460691571235657,1.0,273,22,20,1.1,0.6204545454545455,0.9381443298969072,72.18376541137695
pass,3.11,IMG_8062,larva_027.png,0.9085761369166525,1,0.7420448660850525,1.0,368,28,24,1.1666666666666667,0.5476190476190477,0.9211514392991239,87.35533833503723
pass,3.11,IMG_8052,larva_063.png,0.9065561591254149,1,0.6858283281326294,1.0,385,27,26,1.0384615384615385,0.5484330484330484,0.915576694411415,87.49747383594513
pass,3.11,IMG_8056,larva_022.png,0.9050148985557526,1,0.5649800896644592,1.0,315,21,24,0.875,0.625,0.9417040358744395,74.76955187320709
pass,3.11,IMG_8052,larva_030.png,0.9003228496649994,1,0.8917124271392822,1.0,513,46,24,1.9166666666666667,0.46467391304347827,0.8479338842975207,119.1543276309967
pass,3.11,IMG_8060,larva_051.png,0.8998399444221222,1,0.8121398687362671,1.0,381,23,30,0.7666666666666667,0.5521739130434783,0.8629671574178935,94.81118214130402
fail,3.11,IMG_7895,larva_007.png,1.0,0,nan,nan,4673,248,358,0.6927374301675978,0.05263335736168679,0.34218137883059346,1150.0012073516846
fail,3.11,IMG_7895,larva_043.png,1.0,0,nan,nan,5518,119,111,1.072072072072072,0.41774547656900596,0.7034227802919243,518.1564161777496
fail,3.11,IMG_7899,larva_012.png,1.0,0,nan,nan,6011,161,339,0.4749262536873156,0.11013393429707397,0.46712775878147345,1084.746374964714
fail,3.11,IMG_7899,larva_067.png,1.0,0,nan,nan,5042,111,95,1.168421052631579,0.4781412991939308,0.733008650141746,432.2569215297699
fail,3.11,IMG_7899,larva_068.png,1.0,0,nan,nan,3129,72,77,0.935064935064935,0.5643939393939394,0.8389864593108995,316.41630017757416
fail,3.11,IMG_7899,larva_070.png,1.0,0,nan,nan,7426,165,107,1.5420560747663552,0.4206173888416879,0.6938241614500608,728.5310871601105
fail,3.11,IMG_7900,larva_010.png,1.0,0,nan,nan,4063,64,103,0.6213592233009708,0.6163531553398058,0.8118693176141473,460.4406851530075
fail,3.11,IMG_7901,larva_010.png,1.0,0,nan,nan,5849,224,367,0.6103542234332425,0.07114879330478785,0.32490834351738695,1158.4864882230759
fail,3.11,IMG_7901,larva_060.png,1.0,0,nan,nan,2643,80,62,1.2903225806451613,0.5328629032258064,0.7406473308112652,520.1219255924225
fail,3.11,IMG_7902,larva_004.png,1.0,0,nan,nan,3291,78,87,0.896551724137931,0.4849690539345712,0.8083016087437063,300.5340528488159
fail,3.11,IMG_7902,larva_007.png,1.0,0,nan,nan,347,30,40,0.75,0.2891666666666667,0.4802768166089965,225.2619731426239
fail,3.11,IMG_7902,larva_012.png,1.0,0,nan,nan,5073,183,316,0.5791139240506329,0.08772566922598049,0.47265443026180937,954.2539532184601
fail,3.11,IMG_7895,larva_063.png,1.0,0,nan,nan,103,15,23,0.6521739130434783,0.2985507246376812,0.7202797202797203,88.36753070354462
fail,3.11,IMG_7896,larva_013.png,1.0,0,nan,nan,5352,268,373,0.7184986595174263,0.053539274138689925,0.3108645775854558,1289.1382910013199
fail,3.11,IMG_7897,larva_005.png,1.0,0,nan,nan,3185,83,90,0.9222222222222223,0.4263721552878179,0.7225499092558983,355.2030987739563
fail,3.11,IMG_7903,larva_005.png,1.0,0,nan,nan,3961,168,287,0.5853658536585366,0.0821511531441845,0.4638988112666159,857.1412574052811
fail,3.11,IMG_8061,larva_003.png,1.0,0,nan,nan,2594,62,80,0.775,0.5229838709677419,0.8104983596313076,261.90663492679596
fail,3.11,IMG_8053,larva_040.png,1.0,0,nan,nan,10582,123,223,0.5515695067264574,0.38579605526996974,0.5971614796422223,1238.846881866455
fail,3.11,IMG_8060,larva_006.png,1.0,0,nan,nan,3675,71,91,0.7802197802197802,0.5687973997833152,0.8200379337275466,410.07315599918365
fail,3.11,IMG_8054,larva_028.png,1.0,0,nan,nan,3816,65,108,0.6018518518518519,0.5435897435897435,0.7863177416031321,416.29141187667847
